2026-05-01 02:16:17,528 [MCA-SWEEP] INFO -   CT offset 114000: 2000 records, 0 new MCA leads
2026-05-01 02:16:19,495 [MCA-SWEEP] INFO -   CT offset 116000: 2000 records, 0 new MCA leads
2026-05-01 02:16:21,591 [MCA-SWEEP] INFO -   CT offset 118000: 2000 records, 0 new MCA leads
2026-05-01 02:16:23,530 [MCA-SWEEP] INFO -   CT offset 120000: 2000 records, 0 new MCA leads
2026-05-01 02:16:25,247 [MCA-SWEEP] INFO -   CT offset 122000: 2000 records, 0 new MCA leads
2026-05-01 02:16:27,021 [MCA-SWEEP] INFO -   CT offset 124000: 2000 records, 0 new MCA leads
2026-05-01 02:16:29,146 [MCA-SWEEP] INFO -   CT offset 126000: 2000 records, 0 new MCA leads
2026-05-01 02:16:30,985 [MCA-SWEEP] INFO -   CT offset 128000: 2000 records, 0 new MCA leads
2026-05-01 02:16:33,487 [MCA-SWEEP] INFO -   CT offset 130000: 2000 records, 0 new MCA leads
2026-05-01 02:16:36,167 [MCA-SWEEP] INFO -   CT offset 132000: 2000 records, 0 new MCA leads
2026-05-01 02:16:38,025 [MCA-SWEEP] INFO -   CT offset 134000: 2000 records, 0 new MCA leads
2026-05-01 02:16:40,309 [MCA-SWEEP] INFO -   CT offset 136000: 2000 records, 0 new MCA leads
2026-05-01 02:16:42,294 [MCA-SWEEP] INFO -   CT offset 138000: 2000 records, 0 new MCA leads
2026-05-01 02:16:44,224 [MCA-SWEEP] INFO -   CT offset 140000: 2000 records, 0 new MCA leads
2026-05-01 02:16:46,157 [MCA-SWEEP] INFO -   CT offset 142000: 2000 records, 0 new MCA leads
2026-05-01 02:16:47,922 [MCA-SWEEP] INFO -   CT offset 144000: 2000 records, 0 new MCA leads
2026-05-01 02:16:49,777 [MCA-SWEEP] INFO -   CT offset 146000: 2000 records, 0 new MCA leads
2026-05-01 02:16:52,156 [MCA-SWEEP] INFO -   CT offset 148000: 2000 records, 0 new MCA leads
2026-05-01 02:16:54,303 [MCA-SWEEP] INFO -   CT offset 150000: 2000 records, 0 new MCA leads
2026-05-01 02:16:56,419 [MCA-SWEEP] INFO -   CT offset 152000: 2000 records, 0 new MCA leads
2026-05-01 02:16:58,111 [MCA-SWEEP] INFO -   CT offset 154000: 2000 records, 0 new MCA leads
2026-05-01 02:16:59,893 [MCA-SWEEP] INFO -   CT offset 156000: 2000 records, 0 new MCA leads
2026-05-01 02:17:02,280 [MCA-SWEEP] INFO -   CT offset 158000: 2000 records, 0 new MCA leads
2026-05-01 02:17:04,151 [MCA-SWEEP] INFO -   CT offset 160000: 2000 records, 0 new MCA leads
